node,new_score,original_score,diff(new-origin)
anon_S1658E,899.93,591,308.93
anon_S2530E,657.8,314,343.8
anon_S1685E,888.3,631,257.3
anon_S4532E,560,560,0
anon_S2941E,744.15,-1,na
anon_S5166E,734,610,124
anon_S2740E,531.28,599,-67.72
anon_S5416E,710,569,141
anon_S1960E,748.2,561,187.2
anon_S4652E,620,564,56
anon_S924E,563,563,0
anon_S450E,552,552,0
anon_S198E,748.2,667,81.2
anon_S1751E,891.96,688,203.96
anon_S2262E,620,742,-122
anon_S5792E,609,588,21
anon_S4240E,724.29,612,112.29
anon_S4215E,724.29,623,101.29
anon_S4738E,332,514,-182
anon_S2646E,717.27,551,166.27
anon_S4109E,744,517,227
anon_S1906E,849.65,529,320.65
anon_S1200E,503,503,0
anon_S4255E,565,528,37
anon_S2861E,588,537,51
anon_S4315E,704,595,109
anon_S3713E,849.65,624,225.65
anon_S2180E,893.98,506,387.98
anon_S218E,652,652,0
anon_S5231E,660,660,0
anon_S2944E,578,-1,na
anon_S3287E,891.96,698,193.96
anon_S712E,594,594,0
anon_S4587E,569,569,0
anon_S1620E,899.6,589,310.6
anon_S2244E,899.76,542,357.76
anon_S1291E,-1,-1,na
anon_S698E,617,617,0
anon_S623E,693,693,0
anon_S4077E,731.98,-1,na
anon_S3830E,-1,-1,na
anon_S4117E,849.65,619,230.65
anon_S4638E,504,504,0
anon_S5827E,874.42,-1,na
anon_S2111E,721,-1,na
anon_S3524E,-1,-1,na
anon_S61E,896.82,-1,na
anon_S3579E,731.98,-1,na
anon_S34E,739,739,0
anon_S5025E,486,486,0
anon_S618E,606,606,0
anon_S3411E,733.14,624,109.14
anon_S3444E,889.53,558,331.53
anon_S5652E,575,575,0
anon_S5818E,609,669,-60
anon_S4135E,724.29,543,181.29
anon_S397E,720,720,0
anon_S4160E,497,497,0
anon_S3856E,588,543,45
anon_S3779E,778.52,588,190.52
anon_S4665E,837.58,573,264.58
anon_S4765E,697.02,515,182.02
anon_S598E,-1,-1,na
anon_S3174E,706,577,129
anon_S946E,654,654,0
anon_S3542E,-1,-1,na
anon_S3196E,705,688,17
anon_S1185E,-1,-1,na
anon_S4538E,614,614,0
anon_S4142E,565,544,21
anon_S2469E,843.73,332,511.73
anon_S3056E,863.63,627,236.63
anon_S4082E,778.52,584,194.52
anon_S880E,704,704,0
anon_S518E,792,792,0
anon_S960E,643,643,0
anon_S1098E,506,506,0
anon_S4171E,511,511,0
anon_S458E,510,510,0
anon_S5831E,662,765,-103
anon_S4883E,581,581,0
anon_S2596E,730.4,506,224.4
anon_S4912E,749.33,625,124.33
anon_S746E,554,554,0
anon_S4996E,898.76,532,366.76
anon_S4796E,717.2,593,124.2
anon_S4951E,695,695,0
anon_S3767E,724.28,-1,na
anon_S3593E,845.41,284,561.41
anon_S5919E,604,604,0
anon_S5886E,486,486,0
anon_S1786E,620,694,-74
anon_S4544E,520,520,0
anon_S2994E,657.8,528,129.8
anon_S1158E,-1,-1,na
anon_S4483E,657.8,-1,na
anon_S2561E,593,570,23
anon_S1398E,549,549,0
anon_S2351E,588,529,59
anon_S4273E,596,572,24
