node,new_score,original_score,diff
anon_S1597,622.8174404,702,-79.18255961
anon_S1952,630.3445352,709,-78.65546476
anon_S5538,611.3649633,690,-78.63503666
anon_S297,592.6469895,671,-78.35301052
anon_S2723,634.7458174,713,-78.25418263
anon_S4667,540.9591107,619,-78.04088932
anon_S6061,511.0593512,589,-77.94064882
anon_S3706,501.0969836,579,-77.90301645
anon_S593,608.4602826,686,-77.53971738
anon_S4986,534.6337356,612,-77.36626442
anon_S2222,637.8421898,715,-77.15781016
anon_S83,639.0722355,716,-76.92776453
anon_S973,637.0941433,714,-76.90585669
anon_S5058,600.1646621,677,-76.83533793
anon_S535,539.2928032,616,-76.70719677
anon_S490,642.3014378,719,-76.69856221
anon_S2267,703.3460665,780,-76.65393347
anon_S2803,624.6277515,701,-76.37224852
anon_S3530,635.7188776,712,-76.28112244
anon_S2,663.829544,740,-76.17045604
anon_S4580,516.8402395,593,-76.15976047
anon_S5503,593.8479877,670,-76.15201234
anon_S4348,542.8947368,619,-76.10526316
anon_S38,663.9374365,740,-76.06256348
anon_S2127,607.9625416,684,-76.03745839
anon_S1847,651.0485777,727,-75.95142225
anon_S34,663.1189806,739,-75.88101941
anon_S3507,602.1749811,678,-75.8250189
anon_S1871,575.4892475,651,-75.51075255
anon_S5560,587.5376898,663,-75.46231016
anon_S2024,655.7465505,731,-75.25344953
anon_S4198,645.7993683,721,-75.20063167
anon_S1723,622.8178848,698,-75.18211516
anon_S3571,490.8605527,566,-75.13944731
anon_S226,557.0372421,632,-74.9627579
anon_S775,630.0609965,705,-74.9390035
anon_S4457,501.1292572,576,-74.87074278
anon_S5213,600.1586638,675,-74.84133622
anon_S5084,600.1678623,675,-74.83213774
anon_S3774,703.3470815,778,-74.65291854
anon_S4118,705.5783071,780,-74.42169285
anon_S5582,587.7741387,662,-74.22586132
anon_S1532,622.808341,697,-74.19165903
anon_S1428,552.9861493,627,-74.01385067
anon_S5679,635.0716217,709,-73.92837827
anon_S1443,527.1403824,601,-73.85961763
anon_S589,630.2548349,704,-73.74516512
anon_S3947,629.3018138,703,-73.69818617
anon_S1112,606.3704542,680,-73.62954578
anon_S163,631.4066804,705,-73.59331961
anon_S5554,560.5467384,634,-73.45326163
anon_S5075,601.5471521,675,-73.45284789
anon_S2090,561.6419322,635,-73.35806777
anon_S5012,627.819508,701,-73.18049204
anon_S147,491.9231622,565,-73.07683778
anon_S1188,547.0598453,620,-72.94015473
anon_S4084,568.0731965,641,-72.92680351
anon_S3243,546.0956117,619,-72.90438829
anon_S4287,602.1675022,675,-72.83249779
anon_S812,567.1838483,640,-72.81615168
anon_S85,631.7075915,704,-72.29240854
anon_S2372,584.7317284,657,-72.26827162
anon_S5655,451.847665,524,-72.15233499
anon_S4954,563.9158331,636,-72.08416695
anon_S231,638.9507647,711,-72.04923529
anon_S2137,710.9965898,783,-72.00341022
anon_S2051,529.0938113,601,-71.90618875
anon_S2618,652.1504045,724,-71.84959545
anon_S3646,515.1644159,587,-71.83558415
anon_S224,584.3476142,656,-71.65238582
anon_S4520,619.4769117,691,-71.52308828
anon_S4702,537.5330641,609,-71.46693586
anon_S111,605.5945766,677,-71.40542339
anon_S1361,459.6259365,531,-71.37406345
anon_S4861,577.6501857,649,-71.34981428
anon_S1786,622.7984698,694,-71.20153016
anon_S4812,595.8820407,667,-71.11795928
anon_S0,480.9908769,552,-71.00912311
anon_S953,637.0940575,708,-70.90594252
anon_S4948,534.4381449,605,-70.56185511
anon_S4971,601.5412256,672,-70.45877437
anon_S3292,594.5575981,665,-70.44240194
anon_S3143,538.5863623,609,-70.41363774
anon_S2077,624.7257206,695,-70.27427939
anon_S2223,605.994621,676,-70.00537898
anon_S391,654.0017817,724,-69.99821828
anon_S4347,537.137931,607,-69.86206897
anon_S295,633.1738724,703,-69.82612764
anon_S3597,515.2042806,585,-69.79571938
anon_S3244,595.4409969,665,-69.55900309
anon_S16,663.5173941,733,-69.48260593
anon_S2987,694.5386427,764,-69.46135731
anon_S58,627.6810294,697,-69.3189706
anon_S3843,584.7480427,654,-69.25195729
anon_S4062,566.7929498,636,-69.20705016
anon_S2199,622.8171854,692,-69.18281458
anon_S5584,597.2274397,666,-68.77256033
anon_S1088,529.253534,598,-68.74646601
anon_S3073,695.2837021,764,-68.71629788
anon_S5001,534.6221701,603,-68.3778299
anon_S5590,572.7380889,641,-68.26191109
anon_S2483,638.7548384,707,-68.24516157
anon_S1620,520.7760858,589,-68.2239142
anon_S132,554.8066381,623,-68.19336195
anon_S5227,441.078404,509,-67.92159598
anon_S1007,637.0908068,705,-67.90919325
anon_S1535,515.2023099,583,-67.79769012
anon_S2960,575.4889028,643,-67.51109719
anon_S3112,618.581881,686,-67.41811903
anon_S3891,459.6154383,527,-67.38456165
anon_S2739,649.686229,717,-67.313771
anon_S1263,589.704837,657,-67.29516295
anon_S261,599.7415427,667,-67.25845731
anon_S4884,580.930177,648,-67.06982302
anon_S1739,684.0005556,751,-66.99944439
anon_S5240,656.2589954,723,-66.74100462
anon_S1840,551.390157,618,-66.60984296
anon_S196,552.5723291,619,-66.42767093
anon_S5755,646.7931145,713,-66.20688551
anon_S1902,602.8770467,669,-66.12295334
anon_S870,637.0940308,703,-65.9059692
anon_S1763,615.2390005,681,-65.76099954
anon_S1865,652.4677925,718,-65.53220751
anon_S54,664.5329328,730,-65.46706715
anon_S829,697.5721234,763,-65.42787662
anon_S1491,547.6716258,613,-65.32837418
anon_S6006,646.8207067,712,-65.17929325
anon_S722,646.1434472,711,-64.85655284
anon_S1394,459.6257319,524,-64.37426812
anon_S610,546.0199897,610,-63.98001031
anon_S4340,543.0210526,607,-63.97894737
anon_S2367,515.2083053,579,-63.79169474
anon_S4705,609.3380676,673,-63.6619324
anon_S545,478.6797755,542,-63.32022453
anon_S3101,645.7855919,709,-63.21440812
anon_S5630,537.8003924,601,-63.19960759
anon_S1134,650.9756783,714,-63.02432174
anon_S3707,501.1051675,564,-62.89483251
anon_S3521,602.1564661,665,-62.84353387
anon_S3788,515.2219734,578,-62.77802661
anon_S3563,547.52962,610,-62.47038005
